idx,pfx,val
12984,502,601
18574,502,603
163,503,613
5752,503,608
11342,503,597
16931,503,610
22520,503,612
4109,504,598
9699,504,611
15288,504,614
20877,504,605
2467,505,606
8056,505,612
13645,505,606
19235,505,592
824,506,610
6413,506,608
12002,506,590
17592,506,598
23181,506,608
4770,507,594
10360,507,602
15949,507,602
21538,507,602
3128,508,597
8717,508,606
14306,508,604
19895,508,587
1485,509,604
7074,509,615
12663,509,596
18253,509,602
23842,509,610
5431,510,599
11021,510,597
16610,510,607
22199,510,602
3789,511,591
9378,511,604
14967,511,605
20556,511,592
2146,512,599
7735,512,605
13324,512,596
18914,512,598
503,513,603
6092,513,599
11682,513,588
17271,513,602
22860,513,604
4449,514,591
10039,514,602
15628,514,603
21217,514,599
2807,515,598
8396,515,608
13985,515,602
19575,515,590
1164,516,604
6753,516,610
12342,516,589
17932,516,602
23521,516,604
5110,517,593
10700,517,599
16289,517,604
21878,517,597
3468,518,594
9057,518,604
14646,518,600
20235,518,586
1825,519,602
7414,519,607
13003,519,594
18593,519,602
182,520,608
5771,520,602
11361,520,597
16950,520,606
22539,520,605
4129,521,591
9718,521,606
15307,521,608
20896,521,596
2486,522,603
8075,522,610
13664,522,598
19254,522,597
843,523,609
6432,523,602
12022,523,591
17611,523,602
23200,523,606
4789,524,590
10379,524,604
15968,524,615
21557,524,597
3147,525,599
8736,525,606
14325,525,602
19915,525,591
1504,526,606
7093,526,610
12682,526,591
18272,526,603
23861,526,605
5450,527,602
11040,527,598
16629,527,605
22218,527,598
3808,528,586
9397,528,602
14986,528,604
20575,528,586
2165,529,597
7754,529,601
13343,529,593
18933,529,594
522,530,603
6111,530,595
11701,530,588
17290,530,595
22879,530,600
4468,531,586
10058,531,597
15647,531,602
21236,531,593
2826,532,594
8415,532,601
14004,532,596
19594,532,587
1183,533,597
6772,533,603
12361,533,579
17951,533,595
23540,533,598
5129,534,586
10719,534,591
16308,534,597
21897,534,589
3487,535,588
9076,535,595
14665,535,595
20254,535,577
1844,536,593
7433,536,597
13022,536,590
18612,536,593
201,537,601
5790,537,592
11380,537,590
16969,537,604
22558,537,602
4148,538,584
9737,538,599
15326,538,604
20915,538,591
2505,539,597
8094,539,604
13683,539,597
19273,539,591
862,540,602
6451,540,600
12040,540,584
17630,540,595
23219,540,596
4808,541,587
10398,541,584
15987,541,599
21576,541,588
3165,542,570
8755,542,579
14344,542,582
19933,542,571
1523,543,560
7112,543,563
12701,543,564
18290,543,548
23880,543,546
5469,544,544
11058,544,540
16647,544,521
22237,544,529
3826,545,532
9415,545,515
14923,545,525
20512,545,525
2102,546,552
7691,546,570
13280,546,575
18870,546,586
459,547,609
6048,547,619
11637,547,614
17227,547,646
22816,547,665
4405,548,665
9995,548,681
15584,548,706
21173,548,715
2763,549,722
8352,549,757
13941,549,762
19536,549,761
1120,550,789
6709,550,814
12304,550,806
17888,550,813
23477,550,842
5066,551,850
10661,551,837
16245,551,861
21834,551,880
3429,552,864
9013,552,874
14602,552,898
20197,552,900
1786,553,885
7370,553,908
12959,553,918
18554,553,911
138,554,913
5727,554,928
11322,554,933
