idx,pfx,val
13725,3078,884
19309,3078,870
904,3079,881
6493,3079,889
12077,3079,860
17666,3079,877
23261,3079,889
4850,3080,880
10434,3080,874
16029,3080,890
21618,3080,884
3202,3081,871
8797,3081,882
14386,3081,887
19970,3081,862
1559,3082,878
7154,3082,891
12743,3082,879
18327,3082,873
23922,3082,887
5511,3083,887
11095,3083,867
16690,3083,883
22279,3083,887
3863,3084,859
9452,3084,878
15047,3084,889
20636,3084,877
2220,3085,877
7815,3085,888
13404,3085,885
18988,3085,865
583,3086,885
6172,3086,886
11756,3086,864
17345,3086,880
22940,3086,889
4529,3087,863
10113,3087,876
15708,3087,885
21297,3087,882
2881,3088,870
8476,3088,885
14065,3088,886
19649,3088,865
1244,3089,879
6833,3089,888
12422,3089,862
18006,3089,874
23601,3089,888
5190,3090,882
10774,3090,872
16369,3090,885
21958,3090,886
3542,3091,862
9137,3091,878
14726,3091,887
20315,3091,861
1899,3092,877
7494,3092,890
13083,3092,881
18667,3092,868
262,3093,884
5851,3093,883
11435,3093,866
17030,3093,880
22619,3093,889
4208,3094,861
9792,3094,875
15387,3094,888
20976,3094,879
2560,3095,871
8155,3095,886
13744,3095,884
19328,3095,871
923,3096,881
6512,3096,884
12096,3096,860
17685,3096,878
23280,3096,889
4869,3097,879
10453,3097,873
16048,3097,889
21637,3097,883
3221,3098,871
8816,3098,884
14405,3098,888
19989,3098,861
1578,3099,877
7173,3099,889
12762,3099,877
18346,3099,875
23941,3099,886
5530,3100,881
11114,3100,870
16709,3100,883
22298,3100,886
3882,3101,872
9471,3101,878
15066,3101,888
20655,3101,876
2239,3102,875
7834,3102,888
13423,3102,882
19007,3102,873
602,3103,885
6191,3103,885
11775,3103,863
17364,3103,880
22959,3103,889
4548,3104,864
10132,3104,876
15727,3104,891
21316,3104,883
2900,3105,872
8495,3105,885
14084,3105,886
19668,3105,868
1263,3106,880
6852,3106,894
12441,3106,861
18025,3106,876
23620,3106,889
5209,3107,883
10793,3107,873
16388,3107,886
21977,3107,886
3561,3108,863
9156,3108,881
14745,3108,887
20334,3108,861
1918,3109,877
7513,3109,889
13102,3109,879
18686,3109,871
281,3110,886
5870,3110,887
11454,3110,866
17049,3110,884
22638,3110,890
4227,3111,861
9811,3111,876
15406,3111,889
20995,3111,882
2579,3112,873
8174,3112,887
13763,3112,885
19347,3112,866
942,3113,883
6531,3113,888
12115,3113,861
17704,3113,879
23299,3113,889
4888,3114,876
10472,3114,873
16067,3114,886
21656,3114,884
3240,3115,867
8835,3115,882
14424,3115,887
20008,3115,862
1597,3116,878
7192,3116,889
12781,3116,875
18365,3116,877
23960,3116,887
5549,3117,880
11133,3117,870
16728,3117,883
22317,3117,885
3901,3118,865
9496,3118,881
15085,3118,889
20674,3118,865
2258,3119,877
7853,3119,889
13442,3119,882
19026,3119,871
621,3120,886
6210,3120,888
11794,3120,864
17389,3120,879
22978,3120,888
4567,3121,863
10151,3121,876
15746,3121,890
21335,3121,880
2919,3122,873
8514,3122,886
14103,3122,885
19687,3122,864
1282,3123,879
6871,3123,886
12460,3123,862
18044,3123,877
23639,3123,889
5228,3124,877
10812,3124,873
16407,3124,885
21996,3124,884
3580,3125,872
9175,3125,881
14764,3125,888
20353,3125,863
1937,3126,875
7532,3126,891
13121,3126,879
18705,3126,876
300,3127,886
5889,3127,887
11473,3127,868
17068,3127,881
22657,3127,888
4241,3128,862
9830,3128,875
15425,3128,889
21014,3128,881
2598,3129,875
8193,3129,888
13782,3129,884
19366,3129,866
961,3130,881
6550,3130,890
12134,3130,861
17723,3130,875
23318,3130,889
4907,3131,878
10491,3131,874
16086,3131,888
21675,3131,884
3259,3132,868
8854,3132,883
14443,3132,885
20027,3132,865
1622,3133,876
7211,3133,889
12800,3133,864
18384,3133,874
23979,3133,889
5568,3134,888
11152,3134,870
16747,3134,885
22336,3134,885
3920,3135,861
9515,3135,878
15104,3135,889
20693,3135,863
2277,3136,874
7872,3136,888
13461,3136,882
19045,3136,873
640,3137,885
6229,3137,885
11813,3137,866
17408,3137,875
22997,3137,888
4586,3138,864
10170,3138,876
15765,3138,881
21354,3138,881
2938,3139,872
8533,3139,887
14122,3139,885
19706,3139,866
1301,3140,880
6890,3140,885
12479,3140,861
18063,3140,876
23658,3140,890
5247,3141,884
10831,3141,873
16426,3141,885
22015,3141,887
3599,3142,864
9194,3142,881
14783,3142,887
20367,3142,861
1956,3143,875
7551,3143,889
13140,3143,879
18724,3143,873
319,3144,887
5908,3144,883
11492,3144,867
17087,3144,881
22676,3144,889
4260,3145,860
9849,3145,878
15444,3145,893
21033,3145,879
2617,3146,873
8212,3146,885
13801,3146,883
19385,3146,870
980,3147,882
6569,3147,882
12153,3147,864
17742,3147,879
23337,3147,890
4926,3148,878
10510,3148,875
16105,3148,888
21694,3148,883
3278,3149,869
8873,3149,883
14462,3149,886
20046,3149,862
1635,3150,879
7230,3150,889
12819,3150,863
18403,3150,874
23998,3150,888
5587,3151,889
11171,3151,872
16766,3151,882
22355,3151,885
3939,3152,867
9528,3152,878
15123,3152,887
20712,3152,863
2296,3153,877
7891,3153,888
13480,3153,880
19064,3153,869
659,3154,883
6248,3154,884
11832,3154,864
17427,3154,876
23016,3154,890
4605,3155,863
10189,3155,877
15784,3155,891
21373,3155,882
2957,3156,873
8552,3156,885
14141,3156,885
19725,3156,867
1320,3157,881
6909,3157,892
12498,3157,859
18082,3157,875
23677,3157,889
5266,3158,887
10850,3158,873
16445,3158,885
22034,3158,884
3618,3159,859
9213,3159,881
14802,3159,889
20386,3159,862
1975,3160,875
7570,3160,889
13159,3160,880
18743,3160,874
338,3161,887
5927,3161,885
11511,3161,869
17106,3161,876
22695,3161,888
